data,上投摩根文体休闲混合型证券投资基金(001795)
1,1.0000
2,0.9990
3,0.9810
4,0.9710
5,0.9770
6,0.9780
7,0.9670
8,0.9680
9,0.9710
10,0.9560
11,0.9500
12,0.9390
13,0.9450
14,0.9440
15,0.9530
16,0.9560
17,0.9650
18,0.9580
19,0.9610
20,0.9710
21,0.9760
22,0.9720
23,0.9740
24,0.9820
25,0.9780
26,0.9710
27,0.9330
28,0.9250
29,0.8930
30,0.9000
31,0.9220
32,0.9210
33,0.8940
34,0.9040
35,0.9100
36,0.9060
37,0.8980
38,0.8920
39,0.9150
40,0.9100
41,0.9040
42,0.9360
43,0.9620
44,0.9770
45,0.9750
46,0.9810
47,0.9710
48,0.9710
49,0.9670
50,0.9430
51,0.9820
52,0.9950
53,0.9850
54,1.0120
55,1.0130
56,0.9960
57,0.9800
58,1.0000
59,0.9890
60,1.0040
61,1.0120
62,1.0120
63,0.9960
64,0.9980
65,0.9520
66,0.9380
67,0.9500
68,0.9440
69,0.9560
70,0.9570
71,0.9500
72,0.9450
73,0.9720
74,0.9780
75,0.9810
76,0.9540
77,0.9250
78,0.9170
79,0.9060
80,0.9170
81,0.9200
82,0.9400
83,0.9330
84,0.9150
85,0.9330
86,0.9320
87,0.9510
88,0.9410
89,0.9340
90,0.9380
91,0.9320
92,0.9190
93,0.9550
94,0.9690
95,0.9780
96,0.9690
97,0.9850
98,0.9850
99,0.9800
100,0.9380
101,0.9360
102,0.9690
103,0.9700
104,0.9730
105,0.9870
106,0.9770
107,0.9960
108,0.9890
109,1.0090
110,1.0360
111,1.0340
112,1.0320
113,1.0200
114,1.0110
115,1.0260
116,1.0320
117,1.0320
118,1.0420
119,1.0320
120,1.0160
121,1.0120
122,1.0180
123,1.0200
124,1.0120
125,1.0010
126,1.0060
127,1.0100
128,1.0070
129,0.9900
130,0.9760
131,0.9870
132,0.9360
133,0.9290
134,0.9230
135,0.9230
136,0.9260
137,0.9270
138,0.9360
139,0.9270
140,0.9290
141,0.9400
142,0.9380
143,0.9170
144,0.9220
145,0.9450
146,0.9590
147,0.9690
148,0.9650
149,0.9680
150,0.9520
151,0.9450
152,0.9500
153,0.9470
154,0.9490
155,0.9470
156,0.9480
157,0.9440
158,0.9430
159,0.9320
160,0.9330
161,0.9530
162,0.9470
163,0.9480
164,0.9430
165,0.9120
166,0.9090
167,0.9040
168,0.9120
169,0.9100
170,0.9150
171,0.9190
172,0.9140
173,0.9010
174,0.9030
175,0.9060
176,0.9100
177,0.9310
178,0.9380
179,0.9380
180,0.9380
181,0.9390
182,0.9340
183,0.9520
184,0.9500
185,0.9520
186,0.9430
187,0.9460
188,0.9450
189,0.9350
190,0.9340
191,0.9280
192,0.9320
193,0.9400
194,0.9300
195,0.9350
196,0.9300
197,0.9240
198,0.9340
199,0.9250
200,0.9330
201,0.9290
202,0.9280
203,0.9340
204,0.9400
205,0.9350
206,0.9320
207,0.9320
208,0.9430
209,0.9370
210,0.9290
211,0.9360
212,0.9350
213,0.9260
214,0.9250
215,0.9300
216,0.9150
217,0.9160
218,0.9180
219,0.9240
220,0.9240
221,0.9180
222,0.8720
223,0.8740
224,0.8670
225,0.8720
226,0.8750
227,0.8680
228,0.8680
229,0.8780
230,0.8770
231,0.8720
232,0.8750
233,0.8770
234,0.8750
235,0.8720
236,0.8690
237,0.8690
238,0.8700
239,0.8840
240,0.8810
241,0.8730
242,0.8760
243,0.8740
244,0.8670
245,0.8620
246,0.8540
247,0.8340
248,0.8410
249,0.8370
250,0.8340
251,0.8440
252,0.8520
253,0.8520
254,0.8540
255,0.8600
256,0.8540
257,0.8580
258,0.8590
259,0.8630
260,0.8680
261,0.8660
262,0.8720
263,0.8750
264,0.8670
265,0.8710
266,0.8670
267,0.8740
268,0.8790
269,0.8820
270,0.8820
271,0.8800
272,0.8770
273,0.8760
274,0.8800
275,0.8790
276,0.8890
277,0.8990
278,0.9030
279,0.8980
280,0.8940
281,0.8980
282,0.9120
283,0.9080
284,0.9070
285,0.9120
286,0.9010
287,0.9080
288,0.9180
289,0.9190
290,0.9240
291,0.9250
292,0.9150
293,0.9170
294,0.9170
295,0.9010
296,0.9110
297,0.9280
298,0.9250
299,0.9210
300,0.9050
301,0.9030
302,0.9030
303,0.9130
304,0.8980
305,0.9000
306,0.9030
307,0.9010
308,0.9060
309,0.8970
310,0.8810
311,0.8960
312,0.9000
313,0.9110
314,0.9120
315,0.9150
316,0.9130
317,0.9060
318,0.8940
319,0.8780
320,0.8890
321,0.8810
322,0.8880
323,0.8820
324,0.8920
325,0.9220
326,0.9150
327,0.9070
328,0.9000
329,0.8910
330,0.8910
331,0.8940
332,0.8910
333,0.8830
334,0.8830
335,0.8730
336,0.8740
337,0.8820
338,0.8870
339,0.9050
340,0.9080
341,0.9130
342,0.9080
343,0.9200
344,0.9120
345,0.9150
346,0.9120
347,0.9190
348,0.9260
349,0.9440
350,0.9350
351,0.9470
352,0.9650
353,0.9610
354,0.9470
355,0.9530
356,0.9590
357,0.9510
358,0.9520
359,0.9690
360,0.9670
361,0.9660
362,0.9580
363,0.9580
364,0.9680
365,0.9580
366,0.9630
367,0.9420
368,0.9450
369,0.9740
370,0.9920
371,0.9990
372,0.9960
373,0.9910
374,0.9820
375,0.9830
376,1.0080
377,1.0150
378,1.0130
379,1.0170
380,1.0010
381,0.9820
382,0.9990
383,0.9950
384,1.0090
385,1.0100
386,0.9930
387,1.0290
388,1.0410
389,1.0310
390,1.0270
391,1.0170
392,1.0210
393,1.0220
394,1.0200
395,1.0160
396,1.0220
397,1.0390
398,1.0380
399,1.0510
400,1.0520
401,1.0680
402,1.0760
403,1.0900
404,1.0900
405,1.0810
406,1.0830
407,1.1070
408,1.0940
409,1.0940
410,1.0740
411,1.0740
412,1.0820
413,1.0630
414,1.0690
415,1.0640
416,1.0630
417,1.0610
418,1.0690
419,1.0960
420,1.1010
421,1.0950
422,1.1050
423,1.1020
424,1.1120
425,1.1170
426,1.1410
427,1.1400
428,1.1340
429,1.1440
430,1.1440
431,1.1490
432,1.1600
433,1.1740
434,1.1750
435,1.1750
436,1.1840
437,1.1830
438,1.1990
439,1.1940
440,1.1870
441,1.1880
442,1.2090
443,1.2100
444,1.2100
445,1.2290
446,1.2540
