data,中融物联网主题灵活配置混合型证券投资基金(003670)
1,1.1840
2,1.2128
3,1.2144
4,1.2008
5,1.1972
6,1.2132
7,1.2144
8,1.2270
9,1.2472
10,1.2620
11,1.0015
12,1.0019
13,1.0056
14,1.0033
15,0.9912
16,0.9742
17,0.9518
18,0.9542
19,0.9705
20,0.9704
21,0.9657
22,0.9539
23,0.9576
24,0.9480
25,0.9547
26,0.9466
27,0.9420
28,0.9392
29,0.9371
30,0.9427
31,0.9355
32,0.9140
33,0.9239
34,0.9362
35,0.9581
36,0.9577
37,0.9636
38,0.9596
39,0.9559
40,0.9438
41,0.9240
42,0.9357
43,0.9292
44,0.9353
45,0.9284
46,0.9436
47,0.9775
48,0.9723
49,0.9597
50,0.9505
51,0.9469
52,0.9300
53,0.9372
54,0.9332
55,0.9218
56,0.9177
57,0.9031
58,0.9100
59,0.9217
60,0.9267
61,0.9517
62,0.9540
63,0.9539
64,0.9379
65,0.9574
66,0.9523
67,0.9616
68,0.9652
69,0.9756
70,0.9916
71,1.0029
72,0.9901
73,1.0051
74,1.0230
75,1.0157
76,1.0023
77,1.0092
78,1.0188
79,1.0125
80,1.0079
81,1.0418
82,1.0533
83,1.0659
84,1.0521
85,1.0408
86,1.0650
87,1.0461
88,1.0559
89,1.0217
90,1.0180
91,1.0478
92,1.0645
93,1.0759
94,1.0676
95,1.0572
96,1.0538
97,1.0543
98,1.0785
99,1.0898
100,1.0891
101,1.0850
102,1.0705
103,1.0411
104,1.0504
105,1.0377
106,1.0459
107,1.0370
108,1.0147
109,1.0556
110,1.0686
111,1.0622
112,1.0653
113,1.0493
114,1.0537
115,1.0682
116,1.0581
117,1.0476
118,1.0540
119,1.0792
120,1.0851
121,1.0938
122,1.1020
123,1.1258
124,1.1394
125,1.1572
126,1.1798
127,1.1724
128,1.1782
129,1.2304
130,1.1986
131,1.2102
132,1.1902
133,1.1789
134,1.1929
135,1.1688
136,1.1804
137,1.1572
138,1.1527
139,1.1389
140,1.1496
141,1.1814
142,1.1803
143,1.1733
144,1.1881
145,1.1797
146,1.1652
147,1.1608
148,1.1753
149,1.1840
150,1.2128
151,1.2144
152,1.2008
153,1.1972
154,1.2132
155,1.2144
156,1.2270
157,1.2472
158,1.2620
