data,兴业成长动力灵活配置混合型证券投资基金(002597)
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0000
6,1.0000
7,1.0010
8,1.0010
9,1.0010
10,1.0010
11,1.0020
12,1.0020
13,1.0020
14,1.0010
15,1.0020
16,1.0010
17,1.0010
18,1.0010
19,1.0010
20,1.0010
21,1.0020
22,1.0020
23,1.0020
24,1.0010
25,1.0020
26,1.0010
27,1.0020
28,1.0010
29,1.0020
30,1.0030
31,1.0020
32,0.9990
33,1.0010
34,1.0040
35,1.0050
36,1.0070
37,1.0040
38,1.0050
39,1.0050
40,1.0050
41,1.0050
42,1.0030
43,1.0040
44,1.0040
45,1.0040
46,1.0050
47,1.0020
48,1.0030
49,1.0030
50,1.0080
51,1.0060
52,1.0080
53,1.0060
54,0.9980
55,0.9970
56,0.9980
57,1.0010
58,1.0000
59,1.0000
60,1.0030
61,1.0020
62,0.9970
63,0.9990
64,0.9960
65,0.9980
66,1.0000
67,1.0050
68,1.0070
69,1.0060
70,1.0060
71,1.0060
72,1.0030
73,1.0070
74,1.0070
75,1.0090
76,1.0060
77,1.0080
78,1.0080
79,1.0060
80,1.0060
81,1.0030
82,1.0040
83,1.0070
84,1.0040
85,1.0050
86,1.0020
87,1.0000
88,1.0030
89,0.9980
90,1.0030
91,1.0030
92,1.0060
93,1.0070
94,1.0070
95,1.0070
96,1.0040
97,1.0050
98,1.0070
99,1.0060
100,1.0030
101,1.0040
102,1.0040
103,1.0030
104,1.0000
105,1.0030
106,0.9930
107,0.9910
108,0.9910
109,0.9940
110,0.9920
111,0.9910
112,0.9740
113,0.9750
114,0.9720
115,0.9710
116,0.9730
117,0.9750
118,0.9720
119,0.9750
120,0.9760
121,0.9720
122,0.9710
123,0.9690
124,0.9690
125,0.9680
126,0.9710
127,0.9710
128,0.9750
129,0.9790
130,0.9780
131,0.9750
132,0.9780
133,0.9760
134,0.9700
135,0.9640
136,0.9620
137,0.9560
138,0.9590
139,0.9610
140,0.9580
141,0.9640
142,0.9650
143,0.9650
144,0.9670
145,0.9700
146,0.9680
147,0.9730
148,0.9720
149,0.9740
150,0.9750
151,0.9750
152,0.9790
153,0.9780
154,0.9730
155,0.9750
156,0.9680
157,0.9780
158,0.9850
159,0.9890
160,0.9870
161,0.9860
162,0.9800
163,0.9830
164,0.9820
165,0.9800
166,0.9790
167,0.9840
168,0.9870
169,0.9820
170,0.9740
171,0.9740
172,0.9840
173,0.9830
174,0.9820
175,0.9880
176,0.9790
177,0.9810
178,0.9840
179,0.9820
180,0.9830
181,0.9930
182,0.9870
183,0.9790
184,0.9760
185,0.9640
186,0.9700
187,0.9890
188,0.9910
189,0.9910
190,0.9830
191,0.9870
192,0.9830
193,0.9830
194,0.9760
195,0.9750
196,0.9740
197,0.9710
198,0.9770
199,0.9780
200,0.9680
201,0.9700
202,0.9700
203,0.9710
204,0.9670
205,0.9670
206,0.9650
207,0.9640
208,0.9580
209,0.9520
210,0.9490
211,0.9460
212,0.9510
213,0.9530
214,0.9570
215,0.9660
216,0.9630
217,0.9590
218,0.9590
219,0.9590
220,0.9600
221,0.9580
222,0.9560
223,0.9540
224,0.9530
225,0.9530
226,0.9520
227,0.9530
228,0.9610
229,0.9740
230,0.9840
231,0.9920
232,0.9900
233,0.9980
234,0.9860
235,0.9880
236,0.9860
237,0.9930
238,0.9910
239,1.0060
240,0.9950
241,1.0030
242,1.0170
243,1.0170
244,1.0110
245,1.0110
246,1.0170
247,1.0100
248,1.0070
249,1.0170
250,1.0180
251,1.0160
252,1.0070
253,1.0080
254,1.0050
255,1.0030
256,1.0080
257,0.9910
258,0.9880
259,1.0030
260,1.0110
261,1.0140
262,1.0140
263,1.0100
264,1.0010
265,1.0010
266,1.0100
267,1.0120
268,1.0100
269,1.0050
270,0.9920
271,0.9840
272,0.9870
273,0.9850
274,0.9910
275,0.9920
276,0.9820
277,0.9980
278,1.0020
279,0.9990
280,0.9970
281,0.9980
282,1.0010
283,1.0020
284,1.0030
285,1.0020
286,1.0060
287,1.0130
288,1.0060
289,1.0110
290,1.0080
291,1.0160
292,1.0270
293,1.0290
294,1.0250
295,1.0200
296,1.0230
297,1.0330
298,1.0270
299,1.0280
300,1.0200
301,1.0210
302,1.0230
303,1.0170
304,1.0200
305,1.0180
306,1.0160
307,1.0140
308,1.0150
309,1.0250
310,1.0280
311,1.0310
312,1.0420
313,1.0460
314,1.0530
315,1.0500
316,1.0590
317,1.0540
318,1.0550
319,1.0620
320,1.0620
321,1.0620
322,1.0700
323,1.0750
324,1.0890
325,1.0890
326,1.0900
327,1.0930
328,1.0990
329,1.0930
330,1.0920
331,1.0850
332,1.1170
333,1.1190
334,1.1100
335,1.1260
336,1.1400
