data,博时丝路主题股票型证券投资基金(001236)
1,1.0000
2,0.9890
3,1.0620
4,1.0920
5,0.9360
6,0.8530
7,0.8450
8,0.7140
9,0.6540
10,0.6210
11,0.6420
12,0.6730
13,0.7200
14,0.7330
15,0.6840
16,0.6890
17,0.7280
18,0.7470
19,0.7680
20,0.7790
21,0.8030
22,0.7900
23,0.7390
24,0.7250
25,0.7590
26,0.7380
27,0.7210
28,0.6920
29,0.7340
30,0.7310
31,0.7240
32,0.7480
33,0.7910
34,0.7860
35,0.7710
36,0.7930
37,0.7930
38,0.8040
39,0.7410
40,0.7600
41,0.7350
42,0.6910
43,0.6320
44,0.5880
45,0.5820
46,0.6080
47,0.6490
48,0.6290
49,0.5930
50,0.5870
51,0.5920
52,0.6180
53,0.6390
54,0.6350
55,0.6390
56,0.5980
57,0.5670
58,0.6070
59,0.5970
60,0.6070
61,0.6340
62,0.6340
63,0.6240
64,0.6360
65,0.6180
66,0.6380
67,0.6340
68,0.6390
69,0.6600
70,0.6690
71,0.6960
72,0.7020
73,0.6860
74,0.7140
75,0.7270
76,0.7270
77,0.7430
78,0.6900
79,0.7170
80,0.7450
81,0.7440
82,0.7430
83,0.7290
84,0.7350
85,0.7440
86,0.7280
87,0.7240
88,0.7610
89,0.7590
90,0.7840
91,0.8030
92,0.8060
93,0.8250
94,0.8220
95,0.7960
96,0.8220
97,0.8120
98,0.7920
99,0.8230
100,0.8430
101,0.8300
102,0.8570
103,0.8920
104,0.8910
105,0.8440
106,0.8470
107,0.8240
108,0.8090
109,0.8400
110,0.8500
111,0.8720
112,0.8750
113,0.8750
114,0.8750
115,0.8580
116,0.8610
117,0.8910
118,0.9050
119,0.9460
120,0.9430
121,0.9400
122,0.9470
123,0.9220
124,0.9260
125,0.9390
126,0.9270
127,0.9370
128,0.9440
129,0.9230
130,0.8460
131,0.8290
132,0.8490
133,0.7750
134,0.7740
135,0.7230
136,0.7320
137,0.7100
138,0.7510
139,0.7320
140,0.7460
141,0.7820
142,0.7760
143,0.7390
144,0.7510
145,0.7560
146,0.6990
147,0.6830
148,0.6490
149,0.6730
150,0.6680
151,0.7000
152,0.7020
153,0.7160
154,0.6970
155,0.7070
156,0.7330
157,0.7390
158,0.7340
159,0.7340
160,0.7440
161,0.7370
162,0.7320
163,0.6800
164,0.6820
165,0.6430
166,0.6560
167,0.6860
168,0.6840
169,0.6600
170,0.6760
171,0.6800
172,0.6580
173,0.6490
174,0.6510
175,0.6750
176,0.6680
177,0.6610
178,0.6900
179,0.7140
180,0.7280
181,0.7250
182,0.7360
183,0.7230
184,0.7220
185,0.7200
186,0.7100
187,0.7340
188,0.7410
189,0.7450
190,0.7660
191,0.7660
192,0.7600
193,0.7530
194,0.7690
195,0.7620
196,0.7730
197,0.7790
198,0.7780
199,0.7690
200,0.7720
201,0.7460
202,0.7380
203,0.7390
204,0.7340
205,0.7450
206,0.7460
207,0.7460
208,0.7500
209,0.7670
210,0.7650
211,0.7670
212,0.7450
213,0.7210
214,0.7160
215,0.7160
216,0.7200
217,0.7180
218,0.7320
219,0.7300
220,0.7110
221,0.7160
222,0.7200
223,0.7320
224,0.7230
225,0.7160
226,0.7240
227,0.7230
228,0.7190
229,0.7460
230,0.7510
231,0.7550
232,0.7590
233,0.7620
234,0.7640
235,0.7610
236,0.7250
237,0.7300
238,0.7610
239,0.7670
240,0.7660
241,0.7690
242,0.7600
243,0.7740
244,0.7630
245,0.7570
246,0.7800
247,0.7790
248,0.7810
249,0.7790
250,0.7780
251,0.7980
252,0.8020
253,0.8080
254,0.8160
255,0.8120
256,0.8150
257,0.8270
258,0.8320
259,0.8270
260,0.8310
261,0.8300
262,0.8240
263,0.8250
264,0.8250
265,0.8160
266,0.8150
267,0.8250
268,0.7980
269,0.7990
270,0.7930
271,0.7810
272,0.7890
273,0.7920
274,0.7970
275,0.7900
276,0.7940
277,0.8030
278,0.7980
279,0.7870
280,0.7920
281,0.8080
282,0.8090
283,0.8100
284,0.8050
285,0.8060
286,0.7990
287,0.8000
288,0.8000
289,0.7980
290,0.7980
291,0.7980
292,0.7990
293,0.8020
294,0.7960
295,0.7960
296,0.7960
297,0.8090
298,0.8080
299,0.8110
300,0.8060
301,0.7930
302,0.7900
303,0.7840
304,0.7950
305,0.7990
306,0.7980
307,0.8060
308,0.8050
309,0.7900
310,0.7950
311,0.7950
312,0.7950
313,0.7970
314,0.8160
315,0.8220
316,0.8230
317,0.8240
318,0.8210
319,0.8120
320,0.8250
321,0.8210
322,0.8260
323,0.8260
324,0.8300
325,0.8280
326,0.8250
327,0.8230
328,0.8150
329,0.8120
330,0.8200
331,0.8130
332,0.8180
333,0.8160
334,0.8200
335,0.8270
336,0.8230
337,0.8350
338,0.8410
339,0.8430
340,0.8460
341,0.8470
342,0.8450
343,0.8470
344,0.8530
345,0.8560
346,0.8470
347,0.8440
348,0.8520
349,0.8560
350,0.8560
351,0.8470
352,0.8490
353,0.8390
354,0.8300
355,0.8310
356,0.8420
357,0.8410
358,0.8410
359,0.8160
360,0.8210
361,0.8180
362,0.8140
363,0.8170
364,0.8170
365,0.8100
366,0.8200
367,0.8230
368,0.8130
369,0.8150
370,0.8170
371,0.8130
372,0.8110
373,0.8140
374,0.8140
375,0.8240
376,0.8290
377,0.8270
378,0.8270
379,0.8300
380,0.8270
381,0.8220
382,0.8130
383,0.8040
384,0.7940
385,0.7960
386,0.7980
387,0.7960
388,0.8040
389,0.8080
390,0.8090
391,0.8120
392,0.8170
393,0.8130
394,0.8180
395,0.8150
396,0.8190
397,0.8250
398,0.8270
399,0.8330
400,0.8360
401,0.8270
402,0.8340
403,0.8240
404,0.8320
405,0.8370
406,0.8420
407,0.8390
408,0.8390
409,0.8270
410,0.8310
411,0.8350
412,0.8300
413,0.8290
414,0.8350
415,0.8320
416,0.8300
417,0.8210
418,0.8200
419,0.8250
420,0.8260
421,0.8270
422,0.8360
423,0.8280
424,0.8280
425,0.8290
426,0.8260
427,0.8340
428,0.8350
429,0.8340
430,0.8280
431,0.8220
432,0.8120
433,0.8150
434,0.8240
435,0.8240
436,0.8280
437,0.8170
438,0.8240
439,0.8170
440,0.8150
441,0.8080
442,0.7970
443,0.7930
444,0.7910
445,0.7920
446,0.7920
447,0.7820
448,0.7820
449,0.7790
450,0.7790
451,0.7790
452,0.7750
453,0.7700
454,0.7660
455,0.7590
456,0.7490
457,0.7550
458,0.7450
459,0.7480
460,0.7470
461,0.7500
462,0.7650
463,0.7650
464,0.7580
465,0.7530
466,0.7400
467,0.7280
468,0.7290
469,0.7310
470,0.7340
471,0.7340
472,0.7260
473,0.7310
474,0.7360
475,0.7380
476,0.7490
477,0.7470
478,0.7450
479,0.7400
480,0.7480
481,0.7420
482,0.7470
483,0.7450
484,0.7490
485,0.7490
486,0.7510
487,0.7460
488,0.7530
489,0.7620
490,0.7630
491,0.7600
492,0.7630
493,0.7650
494,0.7700
495,0.7690
496,0.7750
497,0.7780
498,0.7790
499,0.7780
500,0.7680
501,0.7700
502,0.7720
503,0.7710
504,0.7510
505,0.7650
506,0.7870
507,0.7880
508,0.7920
509,0.7930
510,0.7920
511,0.8010
512,0.7970
513,0.8040
514,0.8190
515,0.8180
516,0.8170
517,0.8210
518,0.8180
519,0.8310
520,0.8280
521,0.8370
522,0.8270
523,0.7940
524,0.8050
525,0.8110
526,0.8040
527,0.8170
528,0.8170
529,0.8240
530,0.8240
531,0.8120
532,0.8080
533,0.8210
534,0.8280
535,0.8310
536,0.8450
537,0.8520
538,0.8640
539,0.8680
540,0.8700
541,0.8820
542,0.8690
543,0.8750
544,0.8860
545,0.8910
546,0.9010
547,0.8930
548,0.8790
549,0.8790
550,0.8760
551,0.8860
552,0.8780
553,0.8710
554,0.8660
555,0.8670
556,0.8770
557,0.8860
558,0.8920
559,0.9040
560,0.9020
561,0.8960
562,0.8990
563,0.9000
564,0.8920
565,0.8940
566,0.8940
567,0.8930
568,0.8950
569,0.9010
570,0.9070
571,0.9100
572,0.9150
573,0.9130
574,0.9130
575,0.9190
576,0.9230
577,0.9140
578,0.9100
579,0.9320
580,0.9410
581,0.9370
582,0.9470
583,0.9670
