data,富兰克林国海中小盘股票型证券投资基金(450009)
1,1.8500
2,1.8570
3,1.8480
4,1.8480
5,1.8390
6,1.8640
7,1.8730
8,1.8670
9,1.8830
10,1.8950
11,1.0010
12,1.0000
13,1.0030
14,1.0380
15,1.0080
16,1.0280
17,1.0160
18,0.9800
19,0.9400
20,0.9550
21,0.9660
22,1.0030
23,1.0200
24,1.0290
25,1.0250
26,1.0140
27,1.0300
28,1.0120
29,1.0140
30,1.0190
31,1.0210
32,1.0370
33,1.0410
34,1.0410
35,1.0270
36,1.0360
37,1.0520
38,1.0510
39,1.0500
40,1.0450
41,1.0410
42,1.0490
43,1.0350
44,1.0420
45,1.0250
46,1.0280
47,1.0220
48,1.0220
49,1.0320
50,1.0290
51,1.0380
52,1.0240
53,1.0050
54,1.0010
55,0.9950
56,1.0030
57,1.0000
58,1.0090
59,1.0180
60,1.0090
61,1.0050
62,1.0230
63,1.0190
64,1.0180
65,1.0180
66,1.0110
67,1.0210
68,1.0230
69,1.0180
70,1.0090
71,1.0050
72,1.0230
73,1.0190
74,1.0180
75,1.0180
76,1.0110
77,1.0210
78,1.0230
79,1.0180
80,1.0120
81,1.0060
82,0.9990
83,0.9770
84,0.9870
85,0.9960
86,0.9800
87,0.9900
88,0.9970
89,1.0020
90,1.0040
91,1.0020
92,0.9950
93,0.9980
94,0.9900
95,0.9870
96,0.9930
97,0.9930
98,0.9920
99,0.9630
100,0.9630
101,0.9500
102,0.9390
103,0.9280
104,0.9270
105,0.9410
106,0.9450
107,0.9300
108,0.9440
109,0.9630
110,0.9630
111,0.9500
112,0.9390
113,0.9280
114,0.9270
115,0.9410
116,0.9450
117,0.9300
118,0.9440
119,0.9520
120,0.9500
121,0.9430
122,0.9400
123,0.9350
124,0.9500
125,0.9410
126,0.9320
127,0.9290
128,0.9150
129,0.9520
130,0.9500
131,0.9430
132,0.9400
133,0.9350
134,0.9500
135,0.9410
136,0.9320
137,0.9290
138,0.9150
139,0.9250
140,0.9270
141,0.9420
142,0.9630
143,0.9680
144,0.9700
145,0.9620
146,0.9750
147,0.9850
148,0.9990
149,0.9250
150,0.9270
151,0.9420
152,0.9630
153,0.9680
154,0.9700
155,0.9620
156,0.9750
157,0.9850
158,0.9990
159,1.0010
160,1.0020
161,1.0050
162,1.0050
163,1.0110
164,1.0040
165,1.0190
166,1.0210
167,1.0310
168,1.0300
169,1.0200
170,1.0210
171,1.0160
172,1.0240
173,0.9990
174,0.9990
175,1.0150
176,1.0130
177,1.0050
178,1.0070
179,1.0200
180,1.0210
181,1.0160
182,1.0240
183,0.9990
184,0.9990
185,1.0150
186,1.0130
187,1.0050
188,1.0070
189,1.0040
190,1.0040
191,1.0060
192,0.9950
193,0.9720
194,0.9810
195,0.9930
196,1.0130
197,1.0170
198,1.0300
199,1.0040
200,1.0040
201,1.0060
202,0.9950
203,0.9720
204,0.9810
205,0.9930
206,1.0130
207,1.0170
208,1.0300
209,1.0210
210,1.0150
211,1.0010
212,0.9970
213,0.9880
214,1.0000
215,0.9990
216,1.0200
217,1.0200
218,1.0090
219,1.0040
220,0.9980
221,0.9950
222,0.9870
223,0.9700
224,0.9570
225,0.9760
226,0.9710
227,0.9680
228,0.9580
229,0.9660
230,0.9680
231,0.9660
232,0.9500
233,0.9490
234,0.9710
235,0.9470
236,0.9380
237,0.9190
238,0.9230
239,0.9150
240,0.9000
241,0.9000
242,0.8920
243,0.8850
244,0.9140
245,0.9240
246,0.9240
247,0.9310
248,0.9090
249,0.9040
250,0.8800
251,0.8730
252,0.8910
253,0.9130
254,0.9290
255,0.9330
256,0.9510
257,0.9550
258,0.9530
259,0.9040
260,0.8800
261,0.8730
262,0.8910
263,0.9130
264,0.9290
265,0.9330
266,0.9510
267,0.9550
268,0.9530
