data,新华丰利债券型证券投资基金(003222)
1,1.0515
2,1.0505
3,1.0480
4,1.0483
5,1.0483
6,1.0536
7,1.0534
8,1.0518
9,1.0525
10,1.0498
11,1.0001
12,1.0003
13,1.0018
14,1.0015
15,1.0039
16,1.0034
17,1.0026
18,0.9996
19,1.0001
20,1.0013
21,1.0013
22,1.0022
23,1.0022
24,1.0022
25,1.0023
26,1.0017
27,1.0016
28,1.0011
29,1.0013
30,1.0014
31,1.0012
32,1.0019
33,1.0027
34,1.0026
35,1.0029
36,1.0033
37,1.0035
38,1.0039
39,1.0037
40,1.0039
41,1.0043
42,1.0042
43,1.0045
44,1.0048
45,1.0042
46,1.0045
47,1.0042
48,1.0054
49,1.0059
50,1.0061
51,1.0065
52,1.0067
53,1.0062
54,1.0065
55,1.0066
56,1.0063
57,1.0069
58,1.0075
59,1.0081
60,1.0082
61,1.0078
62,1.0076
63,1.0087
64,1.0089
65,1.0089
66,1.0095
67,1.0087
68,1.0086
69,1.0091
70,1.0094
71,1.0094
72,1.0099
73,1.0098
74,1.0097
75,1.0090
76,1.0078
77,1.0086
78,1.0086
79,1.0091
80,1.0094
81,1.0094
82,1.0099
83,1.0098
84,1.0097
85,1.0090
86,1.0078
87,1.0086
88,1.0111
89,1.0118
90,1.0120
91,1.0117
92,1.0126
93,1.0117
94,1.0112
95,1.0096
96,1.0090
97,1.0082
98,1.0063
99,1.0082
100,1.0076
101,1.0044
102,1.0023
103,1.0036
104,1.0062
105,1.0049
106,1.0029
107,1.0021
108,1.0018
109,1.0002
110,0.9981
111,0.9993
112,0.9971
113,0.9986
114,0.9996
115,1.0024
116,1.0052
117,1.0055
118,1.0018
119,1.0002
120,0.9981
121,0.9993
122,0.9971
123,0.9986
124,0.9996
125,1.0024
126,1.0052
127,1.0055
128,1.0045
129,1.0045
130,1.0023
131,0.9981
132,0.9990
133,1.0016
134,1.0023
135,1.0027
136,1.0006
137,1.0021
138,1.0026
139,1.0044
140,1.0079
141,1.0091
142,1.0094
143,1.0082
144,1.0098
145,1.0084
146,1.0109
147,1.0101
148,1.0117
149,1.0128
150,1.0139
151,1.0123
152,1.0131
153,1.0177
154,1.0198
155,1.0189
156,1.0205
157,1.0206
158,1.0224
159,1.0200
160,1.0214
161,1.0207
162,1.0209
163,1.0197
164,1.0182
165,1.0176
166,1.0189
167,1.0193
168,1.0148
169,1.0140
170,1.0179
171,1.0206
172,1.0218
173,1.0230
174,1.0225
175,1.0236
176,1.0263
177,1.0279
178,1.0306
179,1.0296
180,1.0279
181,1.0259
182,1.0229
183,1.0227
184,1.0228
185,1.0253
186,1.0249
187,1.0206
188,1.0306
189,1.0296
190,1.0279
191,1.0259
192,1.0229
193,1.0227
194,1.0228
195,1.0253
196,1.0249
197,1.0206
198,1.0317
199,1.0322
200,1.0341
201,1.0331
202,1.0351
203,1.0362
204,1.0365
205,1.0362
206,1.0384
207,1.0385
208,1.0317
209,1.0322
210,1.0341
211,1.0331
212,1.0351
213,1.0362
214,1.0365
215,1.0362
216,1.0384
217,1.0385
218,1.0373
219,1.0370
220,1.0381
221,1.0399
222,1.0401
223,1.0413
224,1.0411
225,1.0420
226,1.0410
227,1.0405
228,1.0377
229,1.0405
230,1.0418
231,1.0421
232,1.0426
233,1.0441
234,1.0467
235,1.0505
236,1.0483
237,1.0506
238,1.0455
239,1.0456
240,1.0468
241,1.0473
242,1.0473
243,1.0525
244,1.0557
245,1.0587
246,1.0562
247,1.0568
