data,融通通乾研究精选灵活配置混合型证券投资基金(002989)
1,0.9690
2,0.9801
3,0.9732
4,0.9748
5,0.9696
6,0.9710
7,0.9650
8,0.9697
9,0.9666
10,0.9641
11,0.9640
12,0.9664
13,0.9684
14,0.9688
15,1.0000
16,0.9948
17,0.9946
18,1.0006
19,1.0028
20,1.0031
21,0.9975
22,0.9877
23,0.9919
24,0.9903
25,0.9963
26,0.9957
27,0.9936
28,0.9979
29,0.9992
30,0.9859
31,0.9911
32,0.9893
33,0.9910
34,0.9985
35,1.0073
36,1.0093
37,1.0076
38,1.0116
39,1.0121
40,1.0095
41,1.0194
42,1.0177
43,1.0144
44,1.0108
45,1.0148
46,1.0209
47,1.0244
48,1.0221
49,1.0228
50,1.0190
51,1.0290
52,1.0150
53,1.0184
54,1.0113
55,1.0088
56,1.0151
57,1.0125
58,1.0195
59,1.0192
60,1.0202
61,1.0283
62,1.0258
63,1.0210
64,1.0156
65,1.0160
66,1.0303
67,1.0284
68,1.0270
69,1.0301
70,1.0273
71,1.0352
72,1.0272
73,1.0297
74,1.0159
75,1.0111
76,1.0124
77,1.0228
78,1.0208
79,1.0225
80,0.9857
81,0.9955
82,0.9878
83,0.9878
84,0.9896
85,0.9885
86,0.9827
87,0.9856
88,0.9862
89,0.9753
90,0.9797
91,0.9804
92,0.9759
93,0.9738
94,0.9833
95,0.9833
96,0.9862
97,0.9939
98,0.9896
99,0.9859
100,0.9888
101,0.9889
102,0.9795
103,0.9719
104,0.9695
105,0.9664
106,0.9707
107,0.9764
108,0.9736
109,0.9782
110,0.9818
111,0.9807
112,0.9807
113,0.9818
114,0.9736
115,0.9750
116,0.9743
117,0.9788
118,0.9859
119,0.9884
120,0.9977
121,0.9983
122,0.9937
123,0.9996
124,0.9987
125,1.0188
126,1.0306
127,1.0328
128,1.0244
129,1.0246
130,1.0153
131,1.0170
132,1.0237
133,1.0252
134,1.0244
135,1.0260
136,1.0378
137,1.0336
138,1.0259
139,1.0291
140,1.0417
141,1.0355
142,1.0370
143,1.0381
144,1.0283
145,1.0286
146,1.0409
147,1.0400
148,1.0378
149,1.0406
150,1.0349
151,1.0290
152,1.0287
153,1.0257
154,1.0338
155,1.0427
156,1.0436
157,1.0480
158,1.0398
159,1.0437
160,1.0445
161,1.0486
162,1.0372
163,1.0445
164,1.0452
165,1.0429
166,1.0638
167,1.0618
168,1.0503
169,1.0636
170,1.0595
171,1.0600
172,1.0563
173,1.0501
174,1.0495
175,1.0464
176,1.0410
177,1.0274
178,1.0283
179,1.0207
180,1.0291
181,1.0399
182,1.0520
183,1.0717
184,1.0597
185,1.0464
186,1.0410
187,1.0274
188,1.0283
189,1.0207
190,1.0291
191,1.0399
192,1.0520
193,1.0717
194,1.0597
195,1.0658
196,1.0797
197,1.1019
198,1.1179
199,1.1259
200,1.1351
201,1.1381
202,1.1257
203,1.1170
204,1.1149
205,1.1227
206,1.1187
207,1.1466
208,1.1375
209,1.1535
210,1.1704
211,1.1736
212,1.1594
213,1.1629
214,1.1678
215,1.1551
216,1.1430
217,1.1572
218,1.1589
219,1.1511
220,1.1483
221,1.1577
222,1.1467
223,1.1457
224,1.1527
225,1.1272
226,1.1316
227,1.1453
228,1.1536
229,1.1611
230,1.1669
231,1.1593
232,1.1458
233,1.1462
234,1.1576
235,1.1655
236,1.1737
237,1.1640
238,1.1535
239,1.1456
240,1.1549
241,1.1547
242,1.1606
243,1.1595
244,1.1429
245,1.1594
246,1.1617
247,1.1571
248,1.1638
249,1.1662
250,1.1741
251,1.1697
252,1.1708
253,1.1609
254,1.1732
255,1.1878
256,1.1850
257,1.1885
258,1.1819
259,1.1847
260,1.1859
261,1.1877
262,1.1896
263,1.1879
264,1.1810
265,1.1878
266,1.1850
267,1.1885
268,1.1819
269,1.1847
270,1.1859
271,1.1877
272,1.1896
273,1.1879
274,1.1810
275,1.2096
276,1.2089
277,1.2124
278,1.2101
279,1.2174
280,1.2359
281,1.2376
282,1.2451
283,1.2543
284,1.2536
285,1.2406
286,1.2351
287,1.2453
288,1.2570
289,1.2565
290,1.2588
291,1.2716
292,1.2754
293,1.2764
294,1.2817
295,1.2789
296,1.2654
297,1.2682
298,1.2715
299,1.2625
300,1.2712
301,1.2787
302,1.2807
303,1.2913
304,1.2988
