data,行健宏扬中国基金(968006)
1,1.3389
2,1.3589
3,1.3661
4,1.3686
5,1.3532
6,1.3185
7,1.3426
8,1.3385
9,1.3494
10,1.3530
11,1.3504
12,1.3581
13,1.3727
14,1.3878
15,1.3916
16,1.3817
17,1.3806
18,1.3965
19,1.3970
20,1.4025
21,1.3982
22,1.4064
23,1.4065
24,1.4113
25,1.4078
26,1.4138
27,1.4271
28,1.4370
29,1.4383
30,1.4494
31,1.4616
32,1.4603
33,1.4723
34,1.4792
35,1.4586
36,1.4092
37,1.4043
38,1.4287
39,1.4185
40,1.4250
41,1.4602
42,1.4592
43,1.4497
44,1.4531
45,1.4520
46,1.4576
47,1.4489
48,1.4500
49,1.4267
50,1.4465
51,1.4530
52,1.4452
53,1.4575
54,1.4472
55,1.4305
56,1.4329
57,1.4463
58,1.4620
59,1.4758
60,1.4693
61,1.4849
62,1.4982
63,1.5011
64,1.5099
